Country,Location,Company,Plant_Capacity
China,Guiyang Shi,Guiyang Aluminium Smelter,240000
China,Guizhou,Guizhou Aluminum Plant,410000
China,Haizhou,HaizhouAluminium Smelter,40000
China,Hejin Xian,Long Men Aluminum Plant,120000
China,Henan Wanji,Henan Wanji Aluminum Co. Ltd.,530000
China,Hongjun,Huomei Hongjun Aluminium Smelter,1060000
China,Honglu Aluminium,Honglu Aluminium Co,150000
China,Huadong,Huadong Aluminium Works,70000
China,Huanghe,Huanghe Aluminum Co.,80000
China,Huasheng Jiangquan,Huasheng Jiangquan Aluminum Co.,112000
China,Huaxin,Huaxin Aluminum Industries,70000
China,Huayu,Huayu Aluminium Works,100000
China,Jiaozuo Shi,Jiaozuo Wanfang Aluminium Smelter,420000
China,Jilin,Jilin Aluminium Company,65000
China,Jinneng,Jinning Aluminium Smelter,80000
China,Jinning,Jinning Aluminium Co,350000
China,Jinxi,Xinfa Group,160000
China,Ke'ao,Shandong Yankuang Ke-au Aluminium,135000
China,Laibin Yinhai,Laibin Yinhai Aluminium Company,250000
China,Lanjiang Shi,Lanjiang Aluminium Works,30000
China,Lanzhou Liancheng,Lanzhou Liancheng Aluminium Plant,260000
China,Lanzhou Shi,Lanzhou Aluminium Smelter,700000
China,Linfeng,Linfeng Aluminium,160000
China,Lintao,Lintao Aluminium Plant,50000
China,Linzhou,Lifeng Aluminium Co. Ltd.,240000
China,Longlin,Longlin Aluminium Smelter,50000
China,Longquan Aluminium,Longquan Aluminium Smelter,400000
China,Longxiang,Longxiang Aluminium Works,55000
China,Meishan Qimingxing,Sichuan Meishan Qimingxin Aluminium Co,130000
China,Mianchi Aluminium,Mianchi Aluminium Plant,80000
China,Nanping Shi,Nanping Aluminium Group,73000
China,Nanshan,"Shandong Nanshan Aluminum Co., Ltd.",406000
China,Ningxia,Ningxia St. Dehua,50000
China,Ningxia,Ningxia Jinjiang Group,370000
China,Nongliushi,Nongliushi Smelter Xinjiang,590000
China,Panshi Xian,Panshi Aluminium Works,25000
China,Pingguo Xian,Pingguo Aluminum Co.,140000
China,Pingyin,Shandong Pingyin Aluminium Plant,26000
China,Qiaotou,Qiatou Aluminium Works,350000
China,Qinao,Qinao Aluminium Smelter,90000
China,Qinghai,Qinghai Aluminium Plant,436000
China,Qinghai Huanghe,Qinghai Huanghe Aluminium Company,500000
China,Qinghai Xinheng,Qinghai Xinheng Aluminium Plant,500000
China,Qinghai Xinye,Qinghai Xinye Aluminium Smelter,575000
China,Qingtongxia Shi,Qingtongxia Aluminum Co.,685000
China,Qinyang,Henan Qinyang Aluminium Power,500000
China,Qiya,Qiya Group,400000
China,Sanmenxia Shi,Sanmenxia Tianyuan Aluminum Co.,120000
China,Shandong Aluminium,Shandong Aluminium Smelter,78000
China,Shangdian,Shangdian Aluminium Co. Ltd.,125000
China,Shanxi-Huaze,Shanxi-Huaze Aluminium & Power Co.,350000
China,Shanxian Hengkang,Shanxian Hengkang Smelter,220000
China,Shenhuo (new),Henan Shenhuo Orient Aluminium Company,420000
China,Shenhuo (old),Henan Shenhuo Aluminium Company,160000
China,Sichuan Qiya,Qiya Group,350000
China,Taian,Taian Aluminium Works,50000
China,Taiyuan Shi,Taiyuan Aluminium Works,100000
China,Tianshan,Tianshan Group,400000
China,Tianyuan,Tianyuan Aluminium Group,130000
China,Tongshuan,Tongshuan Aluminium Smelter,150000
China,Tongshuan Xinguang,Tongchuan Xinguang Aluminium Co. Ltd.,110000
China,Tongshun,Tongshun Aluminium Plant,50000
China,Wujiaqu,Xinfa Group,740000
China,Xichuan,Xichuan Ferro-Alloy Works,90000
China,Xiezhou,Xiezhou Aluminium Works,330000
China,Xinfa,Xinfa Xiwang Al & Power,175000
China,Xinjang Yihe,Xinjiang Yihe Aluminium Smelter,400000
China,Xinjiang,Xinfa Group,370000
China,Xinjinag,Xinjiang Easthope Coal Power & Aluminium,860000
China,Xinwang,Henan Xinwang Aluminium Co. Ltd.,76000
China,Yangquan,Shanxi Yangquan Aluminium Co. Ltd.,68000
China,Yangquan Shi,Yangquan Aluminium Works,60000
China,Yichuan,"Henan Hong KongYugang Longquan Aluminium Co., Ltd.",400000
China,Yinhai,Yinhai Aluminium Co.,100000
China,Yongan,Yongan Aluminum Co.,60000
China,Yongchen City,Yongchen Aluminium,500000
China,Yugang Longquan,Henan Yugang Longquan Aluminium Co. Ltd.,600000
China,Yulian Power,Henan Yulian Power Group.,120000
China,Yuncheng Shi,Shanxi Huasheng Aluminium Works,220000
China,Yungcheng Shanhe,Yungcheng Shanhe Aluminium Co.,65000
China,Yunnan,Yunnan Aluminium Co. Ltd.,500000
China,Yunnan Dongyuan,Yunnan Dongyuan Smelter,240000
China,Yunnan Runxin,Yunnan Runxin Aluminium Works,50000
China,Yunnan Yongxin,Yunnan Yongxin Metals Processing Co.,35000
China,Zhaofeng,Zhaofeng Aluminium Smelting Co,61000
China,Zheijiang Huadong,Zhejiang Huadong Aluminium Co. Ltd.,70000
China,Zhengxing,Zhenxing Aluminium Smelter,120000
China,Zhengzhuo Shi,Zhengzhuo Aluminium Smelter,58000
China,Zhongfu,Zhongfu Industry Group,308000
China,Zhonghe,Zhonghe Group,495000
China,Zhongning,Zhongning Aluminium Smelter,370000
China,Zouping,Zouping Aluminium Smelter,141000
China,Zunyi Xian,Zunyi Aluminium Works,242000
Qatar,Mesaieed,Qatalum (Qatar Aluminium Co),625000
Romania,Slatina,SC Alro SA Slatina,288000
Russia,Bratsk,Bratsk Aluminium Works-BrAZ,1010000
Russia,Kamensk,Ural Aluminium Works -UAZ,75000
Russia,Kandalaksha,Kandalaksha Aluminium Works -KAZ,75000
Russia,Krasnoturinsk,Bogoslovsk Aluminium Works-BAZ,190000
Russia,Krasnoyarsk,Krasnoyarsk Aluminium Works - KrAZ,1008000
Russia,Nadvoitsy,Nadvoitsy Aluminium Works - NkAZ,80000
Russia,Novokuznetsk,Novokuznetsk Aluminim Works - NAZ,330000
Russia,Sayanogorsk,Sayan Aluminium Works - SaAZ,542000
Russia,Sayanogorsk II,Khakas Aluminium Works - KhAZ,300000
Russia,Shelekhovo,Irkutsk Aluminium Works -IrkAZ,415000
Russia,Taishet,Thaishet Aluminium Works - ThAZ,10000
Russia,Volgograd,Volgograd Aluminium Works - VgAZ,170000
Russia,Volkhov,Volkhov Aluminium Works - VAZ,24000
Saudi Arabia,Ras Al Khair,Ma’aden Aluminium,740000
Slovakia,Ziar nad Hronom,Slovak Aluminium Co - Slovalco,160000
Slovenia,Kidricevo,Talum dd Kidricevo,75000
South Africa,"Richards Bay, Bayside",Bayside Aluminium,100000
South Africa,"Richards Bay, Hillside",Hillside Aluminium,720000
Spain,Aviles,Alcoa Inespal- Aviles Works,93000
Spain,La Coruña,Alcoa Inespal- La Coruna Works,87000
Spain,San Ciprian,Alcoa Inespal -San Ciprian Works,250000
Sweden,Sundsvall,Kubikenborg Aluminium AB (Kubal),130000
Tajikistan,Tursunzoda,Tajikistan Aluminium Company (Talco),450000
Turkey,Seydisehir,Eti Alüminyum Inc,65000
UAE,Jebel Ali,Dubal (Dubai Aluminium Co),1040000
UAE,"Taweelah, Abu Dhabi",Emal (Emirates Aluminium),800000
Ukraine,Zaporozhye,Zaporizhsky Alyuminievy Kominat (Zalk),120000
United Kingdom,Fort William,Rio Tinto Alcan - Lochaber Smelter,42000
USA,Newburgh,Alcoa - Warrick Operations,270000
USA,Hawesville,Century Aluminum of Kentucky LLC,250000
USA,Sebree,Century Aluminum,200000
USA,New Madrid,Noranda Aluminum Inc.,280000
USA,Columbia Falls,CFAC (Columbia Falls Aluminum Co.),180000
USA,Massena,Alcoa - Massena Operations,135000
USA,St. Lawrence,Alcoa - St. Lawrence Reduction,125000
USA,Hannibal,Ormet Primary Aluminum Corporation,270000
USA,Mount Holly,Century Aluminum,224000
USA,Rockdale,Alcoa - Rockdale Works,176000
USA,Ferndale,Alcoa - Intalco Aluminum Corp.,280000
USA,Goldendale,Goldendale Aluminum Co,172000
USA,Wenatchee,Alcoa - Wenatchee Works,184000
USA,Ravenswood,Century Aluminum of West Virginia Inc. (RAC),180000
Venezuela,Matanzas,CVG Venalum,448000
Venezuela,Matanzas,Alcasa - (Aluminios del Caroni C.A.),170000
